Metric,Value
timing__setup__ws__corner:max_ff_n40C_1v95,48.72344443594507
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.122158
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,36
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,36
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:vccd1__corner:nom_tt_025C_1v80,1.79993
design_powergrid__drop__average__net:vccd1__corner:nom_tt_025C_1v80,1.79998
design_powergrid__drop__worst__net:vccd1__corner:nom_tt_025C_1v80,0.0000656062
design_powergrid__voltage__worst__net:vssd1__corner:nom_tt_025C_1v80,0.0000650886
design_powergrid__drop__average__net:vssd1__corner:nom_tt_025C_1v80,0.0000174342
design_powergrid__drop__worst__net:vssd1__corner:nom_tt_025C_1v80,0.0000650886
design_powergrid__voltage__worst,0.0000650886
design_powergrid__voltage__worst__net:vccd1,1.79993
design_powergrid__drop__worst,0.0000656062
design_powergrid__drop__worst__net:vccd1,0.0000656062
design_powergrid__voltage__worst__net:vssd1,0.0000650886
design_powergrid__drop__worst__net:vssd1,0.0000650886
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0000180999999999999994985781792689039093602332286536693572998046875
ir__drop__worst,0.00006559999999999999533741024126953789163962937891483306884765625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
