Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_248_139,VPWR,li1,69.6900,688.1600,1.800000
FILLER_248_137,VPWR,li1,69.0000,688.1600,1.800000
FILLER_248_125,VPWR,li1,65.7800,688.1600,1.800000
FILLER_248_113,VPWR,li1,60.2600,688.1600,1.800000
FILLER_248_111,VPWR,li1,56.8100,688.1600,1.800000
FILLER_248_109,VPWR,li1,56.1200,688.1600,1.800000
FILLER_248_97,VPWR,li1,52.9000,688.1600,1.800000
FILLER_248_85,VPWR,li1,47.3800,688.1600,1.800000
FILLER_248_83,VPWR,li1,43.9300,688.1600,1.800000
FILLER_248_81,VPWR,li1,43.2400,688.1600,1.800000
FILLER_248_69,VPWR,li1,40.0200,688.1600,1.800000
FILLER_248_57,VPWR,li1,34.5000,688.1600,1.800000
FILLER_248_55,VPWR,li1,31.0500,688.1600,1.800000
FILLER_248_53,VPWR,li1,30.3600,688.1600,1.800000
FILLER_248_41,VPWR,li1,27.1400,688.1600,1.800000
FILLER_248_29,VPWR,li1,21.6200,688.1600,1.800000
FILLER_248_27,VPWR,li1,18.1700,688.1600,1.800000
FILLER_248_15,VPWR,li1,15.1800,688.1600,1.800000
FILLER_248_3,VPWR,li1,9.6600,688.1600,1.800000
FILLER_247_1493,VPWR,li1,692.5300,682.7200,1.800000
FILLER_247_1481,VPWR,li1,689.5400,682.7200,1.800000
FILLER_247_1469,VPWR,li1,684.0200,682.7200,1.800000
FILLER_247_1457,VPWR,li1,678.5000,682.7200,1.800000
FILLER_247_1455,VPWR,li1,675.0500,682.7200,1.800000
FILLER_247_1453,VPWR,li1,674.3600,682.7200,1.800000
FILLER_247_1449,VPWR,li1,672.9800,682.7200,1.800000
FILLER_247_1437,VPWR,li1,669.3000,682.7200,1.800000
FILLER_247_1425,VPWR,li1,663.7800,682.7200,1.800000
FILLER_247_1413,VPWR,li1,658.2600,682.7200,1.800000
FILLER_247_1401,VPWR,li1,652.7400,682.7200,1.800000
FILLER_247_1399,VPWR,li1,649.2900,682.7200,1.800000
FILLER_247_1397,VPWR,li1,648.6000,682.7200,1.800000
FILLER_247_1393,VPWR,li1,647.2200,682.7200,1.800000
FILLER_247_1381,VPWR,li1,643.5400,682.7200,1.800000
FILLER_247_1369,VPWR,li1,638.0200,682.7200,1.800000
FILLER_247_1357,VPWR,li1,632.5000,682.7200,1.799999
FILLER_247_1345,VPWR,li1,626.9800,682.7200,1.799999
FILLER_247_1343,VPWR,li1,623.5300,682.7200,1.799999
FILLER_247_1341,VPWR,li1,622.8400,682.7200,1.799999
FILLER_247_1337,VPWR,li1,621.4600,682.7200,1.799999
FILLER_247_1325,VPWR,li1,617.7800,682.7200,1.799999
FILLER_247_1313,VPWR,li1,612.2600,682.7200,1.799998
FILLER_247_1301,VPWR,li1,606.7400,682.7200,1.799998
FILLER_247_1289,VPWR,li1,601.2200,682.7200,1.799998
FILLER_247_1287,VPWR,li1,597.7700,682.7200,1.799998
FILLER_247_1285,VPWR,li1,597.0800,682.7200,1.799998
FILLER_247_1281,VPWR,li1,595.7000,682.7200,1.799998
FILLER_247_1269,VPWR,li1,592.0200,682.7200,1.799997
FILLER_247_1257,VPWR,li1,586.5000,682.7200,1.799997
FILLER_247_1245,VPWR,li1,580.9800,682.7200,1.799997
FILLER_247_1233,VPWR,li1,575.4600,682.7200,1.799997
FILLER_247_1231,VPWR,li1,572.0100,682.7200,1.799996
FILLER_247_1229,VPWR,li1,571.3200,682.7200,1.799996
FILLER_247_1225,VPWR,li1,569.9400,682.7200,1.799996
