Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_247_1453,VGND,li1,674.3600,685.4400,0.000000
FILLER_247_1449,VGND,li1,672.9800,685.4400,0.000000
FILLER_247_1437,VGND,li1,669.3000,685.4400,0.000000
FILLER_247_1425,VGND,li1,663.7800,685.4400,0.000000
FILLER_247_1413,VGND,li1,658.2600,685.4400,0.000000
FILLER_247_1401,VGND,li1,652.7400,685.4400,0.000000
FILLER_247_1399,VGND,li1,649.2900,685.4400,0.000000
FILLER_247_1397,VGND,li1,648.6000,685.4400,0.000000
FILLER_247_1393,VGND,li1,647.2200,685.4400,0.000000
FILLER_247_1381,VGND,li1,643.5400,685.4400,0.000000
FILLER_247_1369,VGND,li1,638.0200,685.4400,0.000000
FILLER_247_1357,VGND,li1,632.5000,685.4400,0.000001
FILLER_247_1345,VGND,li1,626.9800,685.4400,0.000001
FILLER_247_1343,VGND,li1,623.5300,685.4400,0.000001
FILLER_247_1341,VGND,li1,622.8400,685.4400,0.000001
FILLER_247_1337,VGND,li1,621.4600,685.4400,0.000001
FILLER_247_1325,VGND,li1,617.7800,685.4400,0.000001
FILLER_247_1313,VGND,li1,612.2600,685.4400,0.000001
FILLER_247_1301,VGND,li1,606.7400,685.4400,0.000002
FILLER_247_1289,VGND,li1,601.2200,685.4400,0.000002
FILLER_247_1287,VGND,li1,597.7700,685.4400,0.000002
FILLER_247_1285,VGND,li1,597.0800,685.4400,0.000002
FILLER_247_1281,VGND,li1,595.7000,685.4400,0.000002
FILLER_247_1269,VGND,li1,592.0200,685.4400,0.000002
FILLER_247_1257,VGND,li1,586.5000,685.4400,0.000002
FILLER_247_1245,VGND,li1,580.9800,685.4400,0.000003
FILLER_247_1233,VGND,li1,575.4600,685.4400,0.000003
FILLER_247_1231,VGND,li1,572.0100,685.4400,0.000003
FILLER_247_1229,VGND,li1,571.3200,685.4400,0.000003
FILLER_247_1225,VGND,li1,569.9400,685.4400,0.000003
FILLER_247_1213,VGND,li1,566.2600,685.4400,0.000003
FILLER_247_1201,VGND,li1,560.7400,685.4400,0.000003
FILLER_247_1189,VGND,li1,555.2200,685.4400,0.000004
FILLER_247_1177,VGND,li1,549.7000,685.4400,0.000004
FILLER_247_1175,VGND,li1,546.2500,685.4400,0.000004
FILLER_247_1173,VGND,li1,545.5600,685.4400,0.000004
FILLER_247_1169,VGND,li1,544.1800,685.4400,0.000004
FILLER_247_1157,VGND,li1,540.5000,685.4400,0.000004
FILLER_247_1145,VGND,li1,534.9800,685.4400,0.000004
FILLER_247_1133,VGND,li1,529.4600,685.4400,0.000005
FILLER_247_1121,VGND,li1,523.9400,685.4400,0.000005
FILLER_247_1119,VGND,li1,520.4900,685.4400,0.000005
FILLER_247_1117,VGND,li1,519.8000,685.4400,0.000005
FILLER_247_1113,VGND,li1,518.4200,685.4400,0.000005
FILLER_247_1101,VGND,li1,514.7400,685.4400,0.000005
FILLER_247_1089,VGND,li1,509.2200,685.4400,0.000005
FILLER_247_1077,VGND,li1,503.7000,685.4400,0.000006
FILLER_247_1065,VGND,li1,498.1800,685.4400,0.000006
FILLER_247_1063,VGND,li1,494.7300,685.4400,0.000006
FILLER_247_1061,VGND,li1,494.0400,685.4400,0.000006
FILLER_247_1057,VGND,li1,492.6600,685.4400,0.000006
FILLER_247_1045,VGND,li1,488.9800,685.4400,0.000006
FILLER_247_1033,VGND,li1,483.4600,685.4400,0.000008
FILLER_247_1021,VGND,li1,477.9400,685.4400,0.000011
FILLER_247_1009,VGND,li1,472.4200,685.4400,0.000015
FILLER_247_1007,VGND,li1,468.9700,685.4400,0.000017
FILLER_247_1005,VGND,li1,468.2800,685.4400,0.000019
FILLER_247_1001,VGND,li1,466.9000,685.4400,0.000019
FILLER_247_989,VGND,li1,463.2200,685.4400,0.000021
FILLER_247_977,VGND,li1,457.7000,685.4400,0.000025
FILLER_247_965,VGND,li1,452.1800,685.4400,0.000029
FILLER_247_953,VGND,li1,446.6600,685.4400,0.000032
FILLER_247_951,VGND,li1,443.2100,685.4400,0.000035
FILLER_247_949,VGND,li1,442.5200,685.4400,0.000036
FILLER_247_945,VGND,li1,441.1400,685.4400,0.000036
FILLER_247_933,VGND,li1,437.4600,685.4400,0.000039
FILLER_247_921,VGND,li1,431.9400,685.4400,0.000042
FILLER_247_909,VGND,li1,426.4200,685.4400,0.000046
FILLER_247_897,VGND,li1,420.9000,685.4400,0.000050
FILLER_247_895,VGND,li1,417.4500,685.4400,0.000053
FILLER_247_893,VGND,li1,416.7600,685.4400,0.000053
FILLER_247_841,VGND,li1,392.6100,685.4400,0.000064
FILLER_247_819,VGND,li1,382.4900,685.4400,0.000065
FILLER_247_751,VGND,li1,351.2100,685.4400,0.000045
FILLER_247_749,VGND,li1,350.5200,685.4400,0.000043
FILLER_247_745,VGND,li1,349.1400,685.4400,0.000043
FILLER_247_713,VGND,li1,333.7300,685.4400,0.000022
FILLER_247_709,VGND,li1,332.5800,685.4400,0.000022
