net,length_um
net1152,659.21µm
net768,659.045µm
net1493,658.88µm
net457,658.19µm
net350,658.15µm
_07876_,658.08µm
_10227_,656.465µm
net850,655.77µm
net1248,654.965µm
_09641_,653.66µm
net1236,653.37µm
net374,653.205µm
net811,652.76µm
_09836_,651.14µm
net419,650.83µm
net1392,650.25µm
_07393_,650.23µm
net1187,650.01µm
net200,649.96µm
net1466,649.245µm
_05208_,648.81µm
net1584,647.935µm
net137,647.82µm
net1165,647.44µm
net1291,646.91µm
net619,646.81µm
net1153,646.79µm
net1296,646.5µm
net821,645.455µm
net1507,645.02µm
net1192,644.51µm
net329,644.49µm
net826,644.47µm
net171,644.32µm
net728,643.99µm
net1221,643.9µm
net1244,640.68µm
_06979_,640.53µm
net1377,640.19µm
net387,640.02µm
net486,639.78µm
net1635,639.675µm
net1380,639.37µm
net1573,638.97µm
net1230,638.075µm
net1321,637.88µm
net1280,637.67µm
net1224,637.6µm
net1341,637.5µm
net301,637.18µm
net1497,636.9µm
net748,636.43µm
net883,635.99µm
net1416,635.345µm
net152,635.3µm
net1611,634.045µm
net1445,633.33µm
net1373,633.145µm
net351,632.76µm
net118,632.665µm
net556,632.56µm
net1597,631.51µm
net929,631.37µm
net1528,630.78µm
net148,630.48µm
net1643,628.97µm
net1520,628.22µm
net346,627.92µm
net1250,627.705µm
net216,627.26µm
net1770,627.175µm
_10093_,626.875µm
net1238,626.835µm
net1426,626.18µm
net788,625.55µm
_09694_,625.45µm
net1374,624.755µm
net232,623.82µm
_08666_,622.78µm
net1484,622.105µm
net294,620.71µm
net1030,619.87µm
net1323,618.06µm
net1414,617.875µm
net1375,617.13µm
net1007,615.93µm
net1307,615.855µm
net635,615.47µm
net1054,614.75µm
net1329,614.75µm
net580,613.88µm
net1154,613.87µm
_09783_,613.86µm
net715,613.71µm
net422,613.65µm
net539,613.54µm
_09675_,612.045µm
net1656,611.915µm
net418,611.87µm
net1555,611.72µm
net1200,611.58µm
net1533,610.88µm
net1170,609.325µm
net1246,609.28µm
net2109,607.875µm
_09632_,607.77µm
net992,607.62µm
_09756_,607.17µm
net1212,606.82µm
net1658,606.35µm
net1337,606.05µm
net1674,605.115µm
net224,604.42µm
net1353,603.7µm
net1368,602.785µm
net175,602.71µm
net494,602.71µm
net533,602.52µm
net2632,599.84µm
net133,598.78µm
net909,598.13µm
net395,597.06µm
net1123,596.84µm
net791,596.77µm
_07672_,595.89µm
net1475,595.425µm
net308,595.08µm
net616,594.75µm
_05195_,594.36µm
net1086,594.1µm
net1679,593.625µm
net1386,593.21µm
net1473,592.305µm
net779,592.14µm
_05273_,591.7µm
net1593,591.7µm
net1444,590.88µm
net1534,590.49µm
net1394,590.39µm
net2561,589.83µm
net1504,588.995µm
net1432,588.96µm
_08940_,587.32µm
net888,586.9µm
net1784,585.73µm
net139,585.41µm
net541,583.98µm
net1259,583.34µm
net694,582.715µm
net1516,582.705µm
net426,582.47µm
net1239,581.985µm
net1417,581.605µm
_10101_,581.13µm
net1299,580.82µm
net1425,580.8µm
net1617,580.66µm
net1536,579.98µm
net1331,579.825µm
net1581,579.18µm
net1408,579.16µm
net620,578.28µm
net1243,577.79µm
_09796_,577.21µm
net109,576.73µm
_09660_,576.34µm
net1633,576.265µm
net1603,575.82µm
net1012,574.45µm
_10489_,574.4µm
net119,572.95µm
net742,572.36µm
net1599,571.78µm
net988,570.955µm
net300,568.43µm
net1683,568.21µm
net312,568.08µm
net1308,567.625µm
net116,567.3µm
_09770_,567.11µm
net462,566.25µm
net721,565.41µm
net504,564.87µm
net185,564.34µm
net1578,562.115µm
net1751,561.58µm
net333,561.07µm
net160,561.01µm
net1428,560.76µm
net660,560.4µm
net503,560.21µm
net1098,559.89µm
net1090,559.82µm
net1527,559.36µm
net596,559.07µm
net699,557.98µm
net2052,557.865µm
net239,557.52µm
net499,556.89µm
net1472,556.795µm
net787,555.72µm
net1557,555.23µm
net1454,555.2µm
net1518,555.13µm
_05908_,553.6µm
net892,553.065µm
net280,552.085µm
net1242,550.33µm
net1102,549.215µm
net1970,549.195µm
net1665,548.595µm
_06873_,548.38µm
net1553,547.56µm
net1969,547.3µm
net1567,547.1µm
net127,545.77µm
_10110_,544.8µm
_09490_,544.56µm
net1681,543.38µm
net1986,542.85µm
net2251,541.79µm
net1406,541.395µm
_09352_,540.59µm
_06113_,540.44µm
net1360,540.005µm
net858,539.065µm
_05063_,538.94µm
net1610,538.8µm
net1381,538.64µm
net2120,538.145µm
net595,538.01µm
net810,537.91µm
net1447,537.53µm
net391,537.36µm
_04871_,536.99µm
net1968,536.99µm
net1481,536.705µm
net1022,535.74µm
net1163,535.66µm
net823,535.21µm
net1211,534.115µm
net2270,533.43µm
net692,533.22µm
net337,533µm
net220,532.84µm
net1412,532.79µm
net1494,531.985µm
net1178,531.945µm
net976,531.31µm
net758,531.26µm
net1476,530.9µm
net1652,530.81µm
net468,530.565µm
net1219,530.12µm
net1324,529.88µm
net2190,529.83µm
net2823,529.55µm
net1662,529.175µm
net1059,529.05µm
net166,527.33µm
net1121,527.27µm
net1302,526.725µm
